18	-9	-21	12	0	6	-1	-4	1	3	2	0
-26	-8	-2	-5	6	-4	4	-2	1	4	-1	1
-14	-5	-4	-20	-17	8	8	4	-4	1	3	1
-30	11	-16	-3	-6	-7	-6	3	-4	0	-2	1
-5	-7	-12	-14	15	10	2	1	-3	-5	6	1
-10	-7	-3	16	21	0	2	-5	1	2	0	1
42	11	-21	14	9	-6	1	2	-2	0	2	0
31	-16	-24	-5	-5	-9	6	10	-2	-4	2	0
-37	-10	5	23	14	16	1	-1	-14	-1	-1	1
-34	-10	15	44	3	11	-3	1	-15	-1	-8	1
11	-37	13	13	11	-9	-1	-4	1	1	-5	0
-29	18	-6	-4	-5	-8	10	-12	1	2	-1	1
-25	-7	7	10	2	-12	-1	1	-1	-4	1	1
48	-42	8	2	-3	-5	-2	-8	-7	3	-2	0
2	-28	19	-12	8	-9	5	-9	-2	0	3	0
-8	-13	27	27	19	-12	-6	5	7	-1	1	1
24	-36	9	36	8	-7	4	-3	-16	-10	-16	0
-23	-5	-5	-14	-4	-1	6	1	-1	-1	-2	1
-44	-6	-9	-7	5	10	-1	0	1	2	-2	1
33	31	-6	9	28	6	-5	4	2	11	9	1
-22	-9	16	2	5	16	1	-1	-5	-2	-7	1
27	-12	15	4	-11	-6	5	0	1	-4	7	0
-12	26	19	17	-27	-11	9	-4	11	3	5	1
-31	-4	7	6	9	7	3	-1	9	7	7	1
21	11	-15	-18	41	-1	3	-5	7	3	8	1
-17	5	-3	29	-10	2	3	0	-6	3	-5	1
-18	6	-10	-6	-5	-4	2	7	-2	1	1	1
49	-26	15	-16	1	11	4	3	-9	10	-4	0
-28	0	-1	-4	-8	5	3	1	-5	-1	-6	1
62	-10	-8	-10	17	-17	-1	-11	4	6	4	0
5	-20	-12	-7	-2	-1	5	6	2	-1	1	0
19	-29	-13	-9	-3	-2	2	-3	-1	4	-1	0
7	-1	-12	-8	-6	-1	5	3	1	-3	-3	0
43	-24	13	11	9	-1	-10	-10	-5	-9	0	0
62	19	-14	-11	-10	-14	-7	6	-9	-5	1	0
85	12	22	1	-11	-6	-9	10	-6	-4	8	0
42	-17	-17	51	7	-11	4	2	-8	-2	-2	0
15	-37	-3	19	-3	-5	4	-1	-4	1	-2	0
-23	-24	9	9	-1	-4	1	-2	-2	0	0	0
21	-8	26	-7	-2	14	0	0	-7	-9	4	0
-28	-25	-2	6	11	4	-1	2	0	3	2	0
5	-28	-12	5	-3	-3	8	2	-5	3	0	0
23	-50	19	27	-8	-7	-11	-7	-10	11	-5	0
-5	17	6	-2	-5	12	1	-2	2	-6	-7	1
-22	-5	18	10	8	6	-4	4	3	-1	2	1
-19	4	-6	1	-8	18	5	3	1	4	4	1
8	27	12	0	9	-5	3	2	3	-2	-10	1
-51	-16	1	-8	11	12	-2	-3	-1	0	2	1
-24	8	-18	-15	-2	-3	1	1	-2	-1	-1	1
45	-28	15	-12	6	0	-12	-8	5	5	3	0
-25	23	-2	1	-15	-8	7	-4	-11	2	14	1
-11	-25	9	14	2	-7	-2	-2	0	2	-1	0
-9	15	20	-9	-34	-16	5	11	1	-6	4	1
-39	10	-4	-5	-16	5	1	0	-1	2	7	1
-15	-24	9	-11	-4	-3	14	-2	1	-3	-3	0
-40	-15	3	0	5	2	-2	4	0	3	1	1
-19	-6	-10	-8	-5	9	1	11	-7	-3	5	1
37	-24	-5	15	-2	-11	6	-5	-5	6	-1	0
-23	9	9	-15	-13	18	4	3	-7	-2	4	1
25	-25	-10	-4	-7	1	7	3	4	-2	3	0
27	-7	-15	-4	12	-5	-7	5	4	-5	2	0
-11	3	18	-18	23	0	7	7	10	0	2	1
-42	1	6	2	-6	8	-5	-3	1	1	0	1
1	15	11	2	24	-2	-6	-2	-2	-7	-2	1
-45	-6	-4	-20	16	5	1	-6	5	1	1	1
19	36	42	-13	-4	17	22	5	-18	-20	15	1
-24	10	10	9	-13	19	0	5	3	0	2	1
